region,gender,education,policy_type,vehicle_class,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount
26,northeast,f,high school or below,personal auto,two-door car,2596,37707,72,0.0,346
27,west,m,doctor,personal auto,suv,12732,40870,105,0.0,504
29,central,f,college,personal auto,two-door car,7598,49937,64,0.0,303
30,northeast,f,bachelor,personal auto,four-door car,4015,37707,109,0.0,523
32,west,f,high school or below,personal auto,suv,8161,37707,109,0.0,523
33,central,m,high school or below,corporate auto,suv,12299,17101,113,0.0,542
34,west,f,college,corporate auto,suv,8715,37707,118,0.0,566
35,central,f,bachelor,personal auto,four-door car,4854,37707,65,0.0,468
37,northeast,m,college,corporate auto,four-door car,2311,24641,61,0.0,295
38,central,m,high school or below,corporate auto,sports car,4327,69040,108,0.0,518
39,northeast,m,high school or below,personal auto,suv,12299,17101,113,0.0,542
40,west,f,high school or below,personal auto,sports car,8324,59886,104,0.0,72
42,west,f,college,personal auto,two-door car,7761,43137,96,0.0,461
44,west,f,bachelor,personal auto,suv,4518,25261,118,0.0,566
46,central,f,college,corporate auto,suv,4131,28321,111,0.0,537
47,east,f,college,personal auto,four-door car,2692,77411,67,0.0,258
48,northeast,m,college,corporate auto,four-door car,5228,37707,72,0.0,518
49,west,f,bachelor,personal auto,four-door car,6187,37707,88,0.0,634
51,northeast,m,high school or below,special auto,suv,11039,37707,103,0.0,1149
54,west,m,high school or below,personal auto,four-door car,13372,37707,74,0.0,811
56,northeast,m,high school or below,personal auto,four-door car,4722,37707,67,0.0,482
57,northeast,m,college,corporate auto,sports car,3874,28142,105,0.0,702
60,northeast,f,college,personal auto,suv,13682,55588,114,0.0,547
61,central,f,master,personal auto,two-door car,5717,52391,71,0.0,410
62,northeast,f,bachelor,personal auto,four-door car,9487,42240,79,0.0,46
63,northeast,f,bachelor,personal auto,four-door car,3839,70146,96,0.0,157
64,northeast,f,college,personal auto,four-door car,11212,41121,94,0.0,451
67,central,f,high school or below,personal auto,four-door car,2817,41228,71,0.0,341
69,northeast,f,college,special auto,four-door car,3445,37707,91,0.0,596
70,west,f,bachelor,personal auto,four-door car,2859,51790,71,0.0,341
71,west,m,high school or below,corporate auto,four-door car,2692,92593,68,0.0,8
72,west,m,high school or below,personal auto,suv,11432,28657,100,0.0,589
74,northeast,f,master,corporate auto,four-door car,9806,47197,81,0.0,76
75,west,f,bachelor,personal auto,four-door car,6804,37707,94,0.0,451
76,northeast,f,bachelor,personal auto,four-door car,7108,37707,61,0.0,542
77,northeast,f,high school or below,personal auto,suv,4735,37707,134,0.0,965
78,central,m,college,corporate auto,two-door car,6874,22093,87,0.0,617
79,central,m,college,personal auto,two-door car,2411,54483,61,0.0,293
80,central,f,college,personal auto,four-door car,2417,18944,63,0.0,125
82,central,m,college,personal auto,four-door car,4692,37707,64,0.0,137
83,west,f,high school or below,corporate auto,suv,3601,25147,101,0.0,695
84,central,m,high school or below,personal auto,four-door car,2665,14315,71,0.0,511
85,central,f,master,personal auto,two-door car,7667,87864,94,0.0,421
87,northeast,f,high school or below,personal auto,four-door car,4551,17913,116,0.0,557
88,central,f,high school or below,special auto,four-door car,11764,28806,99,0.0,475
92,west,m,college,personal auto,sports car,6674,85019,167,0.0,802
95,west,m,bachelor,personal auto,suv,3974,37707,117,0.0,562
96,northeast,m,bachelor,personal auto,suv,4106,39492,105,0.0,756
97,central,m,college,corporate auto,four-door car,2308,37707,68,0.0,490
99,northeast,f,doctor,personal auto,two-door car,5508,96021,68,0.0,315
100,northeast,m,high school or below,personal auto,two-door car,2398,37707,65,0.0,423
101,west,m,high school or below,personal auto,four-door car,3729,37707,105,0.0,756
103,northeast,m,bachelor,corporate auto,four-door car,3704,21975,95,0.0,456
104,west,m,high school or below,personal auto,suv,9373,37707,126,0.0,605
105,northeast,f,bachelor,special auto,suv,4992,56649,125,0.0,780
107,west,m,bachelor,corporate auto,two-door car,2760,92296,69,0.0,331
109,west,f,bachelor,personal auto,suv,5236,71794,131,0.0,457
110,west,f,high school or below,personal auto,four-door car,2633,21861,69,0.0,348
112,central,f,bachelor,special auto,two-door car,8085,60662,68,0.0,326
113,west,f,college,personal auto,four-door car,2685,20608,73,0.0,350
114,west,f,master,personal auto,suv,12208,21331,103,0.0,419
117,northeast,m,doctor,corporate auto,four-door car,2491,36631,62,0.0,68
118,west,m,high school or below,personal auto,four-door car,6315,37707,87,0.0,418
120,central,m,college,personal auto,four-door car,5162,37707,70,0.0,469
121,central,m,bachelor,personal auto,suv,3982,37707,113,0.0,542
124,northeast,m,high school or below,personal auto,four-door car,8276,37707,82,0.0,590
126,west,f,college,personal auto,four-door car,5878,22061,74,0.0,355
127,central,f,high school or below,personal auto,four-door car,2666,86321,66,0.0,317
129,central,f,high school or below,personal auto,four-door car,4777,37707,62,0.0,298
131,northeast,m,high school or below,personal auto,four-door car,2518,86617,63,0.0,188
134,northeast,m,bachelor,corporate auto,four-door car,3965,88410,99,0.0,475
135,west,f,bachelor,personal auto,four-door car,4912,37707,69,0.0,497
137,central,f,college,personal auto,four-door car,7201,37707,66,0.0,317
138,northeast,m,college,personal auto,sports car,5389,66429,136,0.0,58
139,west,f,doctor,personal auto,four-door car,3241,66889,80,0.0,294
140,west,m,bachelor,corporate auto,four-door car,5528,36088,72,0.0,346
141,east,m,master,corporate auto,four-door car,2993,37707,80,0.0,286
142,central,m,bachelor,corporate auto,two-door car,7077,37707,68,0.0,490
143,west,f,college,personal auto,four-door car,3700,17557,96,0.0,667
145,central,f,high school or below,personal auto,four-door car,4839,37707,66,0.0,700
146,east,f,master,personal auto,two-door car,3417,42526,86,0.0,288
147,west,f,doctor,personal auto,two-door car,7880,45703,98,0.0,470
148,west,f,bachelor,personal auto,four-door car,7869,40036,65,0.0,49
149,west,m,bachelor,personal auto,four-door car,2587,37707,71,0.0,192
152,west,m,high school or below,corporate auto,suv,9387,42090,119,0.0,203
153,northeast,f,doctor,corporate auto,four-door car,6309,21368,79,0.0,5
154,east,f,bachelor,personal auto,suv,8609,79090,107,0.0,289
155,northeast,f,bachelor,corporate auto,two-door car,15428,33879,98,0.0,470
156,central,m,high school or below,special auto,four-door car,5631,72874,70,0.0,336
158,west,f,bachelor,personal auto,two-door car,8087,37707,110,0.0,551
160,west,f,bachelor,corporate auto,two-door car,5218,39854,66,0.0,262
161,northeast,m,college,personal auto,four-door car,4836,36655,61,0.0,295
162,northeast,f,high school or below,personal auto,suv,5597,37995,139,0.0,667
163,west,f,high school or below,corporate auto,two-door car,8920,40867,112,0.0,538
164,northeast,f,bachelor,personal auto,two-door car,5995,28804,78,0.0,76
167,east,u,college,special auto,four-door car,2444,92834,61,0.0,293
168,east,f,high school or below,personal auto,four-door car,2472,62006,61,0.0,293
170,west,m,high school or below,personal auto,four-door car,9352,75436,78,0.0,10
173,northeast,m,college,personal auto,two-door car,7507,60920,64,0.0,231
177,west,f,high school or below,personal auto,two-door car,6503,22081,84,0.0,452
178,east,f,college,personal auto,two-door car,2488,67282,62,0.0,298
179,west,f,college,personal auto,suv,4620,37707,130,0.0,936
180,central,m,high school or below,personal auto,two-door car,2472,95697,61,0.0,114
181,northeast,f,college,personal auto,four-door car,6494,15300,85,0.0,408
182,east,m,high school or below,personal auto,two-door car,2505,88264,62,0.0,298
183,central,f,college,personal auto,sports car,4905,12902,139,0.0,667
184,central,m,high school or below,personal auto,four-door car,4802,29809,61,0.0,365
185,central,m,high school or below,personal auto,four-door car,7956,37707,74,0.0,355
186,northeast,m,high school or below,personal auto,four-door car,6942,37707,96,0.0,461
187,northeast,m,bachelor,personal auto,four-door car,8382,25998,71,0.0,792
188,northeast,f,doctor,personal auto,four-door car,3536,28248,90,0.0,634
189,west,f,college,personal auto,two-door car,3245,68103,82,0.0,278
190,west,f,high school or below,special auto,four-door car,7611,37707,103,0.0,742
191,northeast,f,doctor,special auto,suv,4505,81079,111,0.0,134
192,central,f,master,personal auto,four-door car,2446,22732,62,0.0,16
194,northeast,f,college,personal auto,suv,3546,37707,103,0.0,622
195,central,m,high school or below,personal auto,suv,4277,77265,107,0.0,514
196,west,m,high school or below,corporate auto,four-door car,4785,37707,72,0.0,780
198,central,m,bachelor,personal auto,two-door car,11761,36431,99,0.0,513
199,northeast,m,high school or below,personal auto,suv,3934,25927,103,0.0,675
200,central,f,bachelor,personal auto,two-door car,5701,26811,72,0.0,466
201,northeast,f,high school or below,personal auto,four-door car,3499,41711,90,0.0,351
202,central,f,college,corporate auto,two-door car,5768,35091,74,0.0,419
203,central,f,bachelor,corporate auto,four-door car,6362,37707,87,0.0,418
204,northeast,f,high school or below,personal auto,two-door car,6503,22081,84,0.0,452
205,east,m,high school or below,personal auto,four-door car,4935,29560,62,0.0,298
206,northeast,m,college,personal auto,four-door car,5785,31320,72,0.0,294
207,northeast,m,high school or below,personal auto,suv,5620,37707,153,0.0,1027
209,west,f,high school or below,personal auto,two-door car,6733,37707,62,0.0,446
211,east,m,bachelor,personal auto,four-door car,2301,25905,63,0.0,302
212,northeast,m,high school or below,personal auto,suv,4003,37707,114,0.0,821
213,northeast,f,bachelor,corporate auto,two-door car,8621,44988,108,0.0,518
214,northeast,f,college,corporate auto,two-door car,10389,33432,90,0.0,161
216,west,m,bachelor,corporate auto,suv,7007,37707,101,0.0,974
217,northeast,f,master,personal auto,four-door car,5177,23636,65,0.0,81
219,east,f,college,personal auto,two-door car,4700,11417,63,0.0,302
221,central,f,bachelor,personal auto,four-door car,14011,36523,71,0.0,101
222,central,m,bachelor,personal auto,two-door car,12350,54710,103,0.0,294
226,northeast,m,high school or below,personal auto,suv,5917,37707,169,0.0,1207
228,east,u,bachelor,corporate auto,two-door car,5019,54500,63,0.0,302
229,northeast,m,college,personal auto,four-door car,4330,60475,107,0.0,514
230,west,m,college,personal auto,four-door car,10488,30658,89,0.0,442
231,central,m,bachelor,corporate auto,suv,3568,37707,102,0.0,660
234,east,m,college,personal auto,four-door car,6948,40598,91,0.0,303
235,west,f,doctor,personal auto,four-door car,3516,15144,90,0.0,373
236,west,m,bachelor,personal auto,suv,12037,44428,104,0.0,499
239,central,m,master,personal auto,four-door car,8510,26057,74,0.0,524
240,central,f,bachelor,personal auto,two-door car,5866,26608,73,0.0,234
241,west,m,doctor,personal auto,four-door car,4826,37707,63,0.0,273
242,west,m,college,personal auto,sports car,5389,66429,136,0.0,58
245,west,f,high school or below,personal auto,sports car,14866,24279,126,0.0,605
246,central,m,high school or below,corporate auto,sports car,8324,37707,121,0.0,871
247,northeast,f,high school or below,personal auto,suv,9238,37707,128,0.0,922
249,central,m,doctor,special auto,four-door car,6236,57760,78,0.0,224
251,east,m,college,personal auto,four-door car,15696,97750,65,0.0,303
252,east,f,college,personal auto,four-door car,8215,73245,68,0.0,305
255,central,f,high school or below,corporate auto,four-door car,6884,84869,85,0.0,408
256,northeast,m,college,corporate auto,two-door car,2216,37707,66,0.0,317
259,northeast,f,high school or below,personal auto,four-door car,2762,37707,77,0.0,554
261,northeast,m,high school or below,personal auto,two-door car,5286,37707,73,0.0,393
263,northeast,m,bachelor,corporate auto,four-door car,5913,37707,91,0.0,437
264,west,f,master,personal auto,two-door car,2593,37707,69,0.0,331
265,central,m,high school or below,personal auto,two-door car,12693,40117,108,0.0,750
268,west,m,college,personal auto,four-door car,2414,12495,65,0.0,312
270,northeast,f,bachelor,personal auto,four-door car,5528,37707,72,0.0,346
272,central,f,bachelor,personal auto,four-door car,11820,86801,98,0.0,371
273,west,m,college,personal auto,four-door car,4965,52679,62,0.0,118
274,west,m,master,personal auto,sports car,9123,90804,113,0.0,434
276,northeast,f,college,personal auto,four-door car,3461,14262,90,0.0,290
277,northeast,m,bachelor,personal auto,four-door car,2873,36844,73,0.0,284
279,central,m,high school or below,personal auto,four-door car,3483,65162,86,0.0,134
280,northeast,f,college,personal auto,four-door car,3992,54964,99,0.0,526
281,northeast,m,bachelor,personal auto,four-door car,5510,61401,69,0.0,144
282,northeast,f,high school or below,corporate auto,suv,3601,25147,101,0.0,695
283,northeast,f,master,personal auto,two-door car,5419,73536,67,0.0,173
284,northeast,f,high school or below,personal auto,four-door car,5811,24860,73,0.0,350
285,west,m,bachelor,personal auto,four-door car,3943,65404,99,0.0,301
286,northeast,m,high school or below,personal auto,four-door car,3126,34510,81,0.0,389
287,west,m,bachelor,corporate auto,two-door car,3530,37707,108,0.0,778
288,east,f,college,personal auto,suv,10991,44552,137,0.0,311
289,central,m,high school or below,personal auto,suv,4773,20993,133,0.0,638
292,central,f,college,personal auto,four-door car,10374,62587,86,0.0,413
293,east,f,high school or below,personal auto,two-door car,2584,22562,65,0.0,312
294,west,m,high school or below,personal auto,suv,4307,73345,107,0.0,514
295,northeast,f,high school or below,personal auto,four-door car,3040,37707,83,0.0,989
298,northeast,f,bachelor,personal auto,four-door car,5285,22627,67,0.0,322
300,west,m,bachelor,personal auto,two-door car,2810,26790,71,0.0,341
301,central,f,bachelor,personal auto,four-door car,7740,64859,96,0.0,267
302,east,m,bachelor,personal auto,sports car,4110,86657,103,0.0,316
304,northeast,m,bachelor,personal auto,two-door car,2653,82655,66,0.0,317
305,west,f,high school or below,personal auto,four-door car,5048,29401,65,0.0,312
306,east,m,bachelor,personal auto,four-door car,3362,22853,87,0.0,316
307,central,f,college,personal auto,two-door car,4858,26480,63,0.0,379
309,west,m,bachelor,personal auto,two-door car,6043,37707,83,0.0,904
310,northeast,f,high school or below,personal auto,four-door car,3387,73268,84,0.0,94
311,northeast,f,doctor,personal auto,four-door car,10864,95579,67,0.0,309
312,northeast,f,master,personal auto,sports car,8843,42142,112,0.0,396
313,east,m,college,special auto,two-door car,2617,72302,66,0.0,317
315,east,m,master,personal auto,four-door car,5200,23401,66,0.0,317
316,central,m,bachelor,corporate auto,suv,8591,37707,128,0.0,1449
317,central,f,college,personal auto,four-door car,2647,23170,71,0.0,341
318,northeast,f,bachelor,corporate auto,two-door car,4607,17343,63,0.0,209
319,northeast,m,college,personal auto,four-door car,4861,25854,68,0.0,396
320,northeast,m,college,corporate auto,four-door car,2581,46900,66,0.0,317
321,east,f,college,personal auto,four-door car,5291,57338,66,0.0,317
323,central,f,college,personal auto,four-door car,3097,21604,79,0.0,379
327,central,f,high school or below,personal auto,four-door car,3219,68776,80,0.0,88
329,east,f,college,corporate auto,two-door car,6922,16483,90,0.0,321
330,central,m,high school or below,special auto,four-door car,13919,64113,117,0.0,562
331,central,m,high school or below,personal auto,two-door car,8966,41829,76,0.0,416
332,west,f,master,personal auto,two-door car,11982,21514,62,0.0,257
333,central,m,master,personal auto,four-door car,5533,27722,69,0.0,331
334,central,f,college,personal auto,sports car,11661,21506,151,0.0,827
335,northeast,f,high school or below,personal auto,four-door car,2886,10312,78,0.0,486
337,northeast,f,bachelor,personal auto,four-door car,5398,73775,67,0.0,322
338,west,m,high school or below,corporate auto,four-door car,7285,44788,61,0.0,386
341,central,f,high school or below,personal auto,four-door car,2491,25965,65,0.0,329
343,northeast,m,bachelor,special auto,two-door car,2619,78618,66,0.0,226
345,northeast,f,master,personal auto,two-door car,4983,60415,62,0.0,73
346,west,f,master,corporate auto,four-door car,2531,25143,66,0.0,9
348,west,m,college,personal auto,four-door car,3833,97729,95,0.0,97
349,central,f,high school or below,personal auto,four-door car,4961,55702,61,0.0,151
350,west,f,college,personal auto,four-door car,3861,93272,95,0.0,281
354,central,f,bachelor,personal auto,four-door car,8258,23815,73,0.0,424
356,west,f,high school or below,personal auto,two-door car,4012,47221,99,0.0,475
357,northeast,m,bachelor,personal auto,suv,13355,34495,113,0.0,390
358,northeast,m,college,corporate auto,four-door car,2364,46264,62,0.0,199
359,central,m,college,personal auto,two-door car,2489,46051,63,0.0,302
360,central,f,bachelor,corporate auto,suv,4756,23975,128,0.0,614
362,central,f,college,personal auto,two-door car,3020,78561,74,0.0,355
363,west,m,high school or below,personal auto,two-door car,6285,37707,90,0.0,432
365,central,m,bachelor,personal auto,four-door car,2826,65090,71,0.0,74
366,central,m,master,personal auto,two-door car,4370,88495,108,0.0,536
370,northeast,f,high school or below,corporate auto,four-door car,2746,96339,68,0.0,293
373,east,f,doctor,personal auto,two-door car,2728,74592,67,0.0,322
374,northeast,f,college,special auto,four-door car,9450,37707,63,0.0,118
376,northeast,f,master,personal auto,four-door car,2574,34990,65,0.0,43
377,central,f,master,personal auto,sports car,8790,22849,109,0.0,523
378,central,m,doctor,personal auto,four-door car,2507,32893,63,0.0,174
379,northeast,m,college,corporate auto,two-door car,2522,37707,73,0.0,350
380,central,m,college,personal auto,suv,7543,37707,111,0.0,1187
381,northeast,m,high school or below,corporate auto,four-door car,6005,26876,76,0.0,365
383,west,m,college,personal auto,four-door car,2345,37707,69,0.0,331
384,west,f,high school or below,personal auto,suv,8783,16994,112,0.0,806
385,northeast,m,bachelor,personal auto,sports car,4530,64270,117,0.0,46
386,central,f,high school or below,corporate auto,four-door car,6033,37707,83,0.0,598
387,northeast,f,doctor,personal auto,suv,5308,37707,145,0.0,359
388,west,m,college,personal auto,four-door car,2675,56342,69,0.0,331
389,west,f,high school or below,personal auto,four-door car,4930,37707,70,0.0,837
391,northeast,m,high school or below,personal auto,two-door car,2472,95697,61,0.0,114
392,central,m,high school or below,personal auto,four-door car,6005,26876,76,0.0,365
393,east,m,college,personal auto,four-door car,4386,10621,67,0.0,322
395,west,m,college,personal auto,four-door car,6632,32918,84,0.0,403
396,northeast,f,high school or below,personal auto,four-door car,7432,37707,71,0.0,447
400,east,m,college,special auto,four-door car,4386,10621,67,0.0,322
401,northeast,f,college,personal auto,sports car,10214,39719,131,0.0,629
402,central,m,college,personal auto,four-door car,10049,58194,84,0.0,451
403,northeast,m,college,personal auto,four-door car,5746,61990,72,0.0,49
406,central,f,college,personal auto,suv,9120,63878,113,0.0,370
407,northeast,f,high school or below,special auto,two-door car,5678,68671,70,0.0,8
408,central,f,bachelor,personal auto,suv,7517,37707,102,0.0,1179
410,west,f,bachelor,corporate auto,four-door car,2691,21959,71,0.0,341
412,northeast,f,bachelor,corporate auto,four-door car,2479,65744,62,0.0,167
413,central,f,bachelor,personal auto,suv,9112,25198,118,0.0,566
414,central,f,master,personal auto,two-door car,2772,79663,69,0.0,264
416,west,f,bachelor,corporate auto,suv,5103,39452,131,0.0,398
417,northeast,f,bachelor,personal auto,four-door car,4785,25813,61,0.0,205
418,northeast,f,doctor,personal auto,suv,10541,59965,131,0.0,905
420,central,f,college,personal auto,four-door car,7611,98701,94,0.0,80
421,central,f,college,personal auto,sports car,8511,37707,121,0.0,871
422,northeast,f,college,personal auto,four-door car,16173,64388,68,0.0,12
423,northeast,m,college,personal auto,four-door car,2425,66841,62,0.0,123
426,west,f,college,personal auto,four-door car,3457,37707,91,0.0,246
427,central,f,college,personal auto,four-door car,3395,83431,84,0.0,403
428,east,f,college,personal auto,four-door car,8021,54292,67,0.0,322
429,northeast,m,bachelor,personal auto,four-door car,5842,37707,79,0.0,379
430,west,m,high school or below,personal auto,four-door car,5480,38210,69,0.0,383
432,northeast,f,bachelor,corporate auto,four-door car,8319,49734,69,0.0,155
433,east,f,high school or below,corporate auto,four-door car,2583,50148,65,0.0,323
434,northeast,m,college,corporate auto,suv,4164,11689,117,0.0,562
435,central,f,high school or below,special auto,suv,4853,17120,125,0.0,717
438,east,f,bachelor,personal auto,four-door car,2696,25544,68,0.0,326
439,west,m,high school or below,personal auto,two-door car,2685,98121,67,0.0,384
440,east,f,high school or below,personal auto,four-door car,8109,32314,68,0.0,326
441,northeast,f,college,corporate auto,four-door car,9037,89382,112,0.0,574
442,central,f,high school or below,corporate auto,suv,5352,97742,132,0.0,200
443,central,f,high school or below,personal auto,four-door car,11881,37707,114,0.0,821
444,northeast,m,college,corporate auto,four-door car,2557,37707,73,0.0,526
446,west,m,master,personal auto,two-door car,9840,94590,81,0.0,389
447,central,f,high school or below,personal auto,four-door car,4352,74163,108,0.0,518
449,northeast,m,high school or below,personal auto,two-door car,4825,37707,71,0.0,511
450,central,f,high school or below,corporate auto,two-door car,6948,37707,99,0.0,475
451,west,f,college,personal auto,four-door car,3345,33243,85,0.0,25
452,central,m,master,personal auto,four-door car,2358,37707,64,0.0,200
455,central,f,high school or below,personal auto,suv,4048,92801,100,0.0,407
457,west,m,college,personal auto,four-door car,2903,36845,74,0.0,355
460,central,f,bachelor,personal auto,four-door car,2468,19352,65,0.0,724
462,central,f,college,personal auto,four-door car,8634,25073,79,0.0,379
463,northeast,f,high school or below,personal auto,four-door car,2780,20261,72,0.0,346
465,central,f,high school or below,corporate auto,four-door car,2515,43860,65,0.0,156
467,west,f,doctor,corporate auto,four-door car,7706,48019,64,0.0,138
469,west,f,high school or below,corporate auto,four-door car,2397,22283,65,0.0,572
470,central,f,bachelor,personal auto,suv,8834,34133,111,0.0,227
471,central,m,master,personal auto,two-door car,14436,60880,119,0.0,110
475,northeast,f,high school or below,personal auto,suv,10899,58518,136,0.0,324
476,west,m,bachelor,personal auto,four-door car,5284,61542,67,0.0,322
478,west,m,college,personal auto,four-door car,4901,22976,66,0.0,346
480,east,m,college,personal auto,four-door car,5246,70301,67,0.0,329
481,central,m,bachelor,personal auto,four-door car,6631,37707,66,0.0,316
482,central,m,bachelor,personal auto,suv,12037,44428,104,0.0,499
483,central,m,bachelor,personal auto,four-door car,3895,52361,102,0.0,646
485,west,m,high school or below,personal auto,two-door car,3419,40272,86,0.0,23
486,central,m,master,personal auto,four-door car,7303,30492,61,0.0,171
488,central,m,college,corporate auto,four-door car,2486,36635,63,0.0,302
489,central,f,bachelor,corporate auto,two-door car,5224,83389,65,0.0,209
494,northeast,m,bachelor,personal auto,two-door car,6234,37707,82,0.0,193
495,central,m,college,personal auto,four-door car,7540,37707,74,0.0,533
496,central,m,high school or below,corporate auto,four-door car,8158,86811,102,0.0,490
497,northeast,m,high school or below,personal auto,two-door car,13157,72517,82,0.0,371
499,northeast,f,doctor,personal auto,four-door car,5339,84424,66,0.0,232
500,west,f,college,personal auto,suv,8649,43383,109,0.0,758
502,west,f,college,corporate auto,two-door car,4293,37707,61,0.0,293
503,east,f,high school or below,personal auto,four-door car,2538,37707,69,0.0,331
504,central,f,college,personal auto,suv,13160,94125,109,0.0,342
505,northeast,m,college,personal auto,suv,13236,39778,112,0.0,806
506,northeast,f,high school or below,personal auto,suv,3745,37707,101,0.0,727
508,central,m,bachelor,corporate auto,two-door car,2645,54000,66,0.0,374
509,northeast,m,doctor,personal auto,suv,5073,57709,125,0.0,600
510,central,f,high school or below,corporate auto,suv,4273,81132,107,0.0,419
511,west,m,college,corporate auto,four-door car,11003,22926,93,0.0,480
513,east,m,bachelor,personal auto,four-door car,5548,67798,69,0.0,331
514,northeast,m,bachelor,personal auto,suv,11078,78011,138,0.0,620
515,northeast,m,college,personal auto,four-door car,2436,32931,62,0.0,298
516,west,f,bachelor,personal auto,four-door car,8744,99517,109,0.0,240
518,east,f,high school or below,corporate auto,sports car,5500,86073,136,0.0,334
519,central,f,high school or below,corporate auto,suv,8528,91099,107,0.0,406
520,northeast,m,college,personal auto,four-door car,3592,28013,91,0.0,655
521,central,f,high school or below,personal auto,two-door car,8540,55478,71,0.0,339
522,central,f,college,corporate auto,four-door car,6991,22568,88,0.0,422
523,west,f,high school or below,personal auto,suv,3979,37707,112,0.0,806
525,northeast,f,college,personal auto,two-door car,2321,37707,66,0.0,509
526,northeast,m,college,personal auto,four-door car,5087,37707,72,0.0,346
527,northeast,m,college,personal auto,four-door car,4363,58842,110,0.0,528
528,northeast,f,bachelor,personal auto,four-door car,7457,37707,69,0.0,678
529,northeast,m,college,personal auto,suv,7028,37707,102,0.0,490
530,northeast,f,bachelor,personal auto,four-door car,2832,70037,70,0.0,410
531,central,m,high school or below,personal auto,two-door car,4218,37707,62,0.0,446
533,west,m,bachelor,personal auto,four-door car,8366,26630,118,0.0,581
534,northeast,f,high school or below,personal auto,four-door car,2726,48039,68,0.0,11
535,west,m,high school or below,personal auto,four-door car,3420,37707,92,0.0,442
536,central,m,high school or below,personal auto,suv,4839,37707,137,0.0,1227
537,central,f,bachelor,corporate auto,sports car,4359,37707,118,0.0,102
538,east,f,master,personal auto,two-door car,12427,15818,107,0.0,334
542,central,m,doctor,corporate auto,four-door car,5585,37707,80,0.0,6
544,west,m,high school or below,corporate auto,four-door car,5282,39658,66,0.0,317
545,northeast,f,bachelor,personal auto,sports car,8385,37707,116,0.0,557
546,central,m,bachelor,personal auto,two-door car,4633,37707,70,0.0,336
547,west,f,high school or below,personal auto,four-door car,2480,37707,65,0.0,328
548,central,m,high school or below,personal auto,two-door car,3619,50755,91,0.0,437
549,east,f,college,personal auto,four-door car,5376,69050,67,0.0,335
550,northeast,m,bachelor,corporate auto,four-door car,4893,37707,73,0.0,680
551,west,m,high school or below,personal auto,suv,10738,50607,137,0.0,658
553,central,f,bachelor,corporate auto,suv,15725,37707,149,0.0,1073
554,central,m,college,corporate auto,suv,9553,37707,146,0.0,1051
556,west,f,bachelor,special auto,two-door car,7325,37707,105,0.0,504
557,northeast,m,high school or below,personal auto,four-door car,5333,55674,66,0.0,82
559,east,m,bachelor,personal auto,four-door car,2659,24495,70,0.0,336
560,northeast,f,college,personal auto,four-door car,3484,42983,86,0.0,413
563,northeast,m,high school or below,personal auto,four-door car,6979,53808,88,0.0,190
564,central,f,college,personal auto,four-door car,2912,93403,73,0.0,295
566,northeast,f,bachelor,personal auto,four-door car,5010,37707,68,0.0,326
567,west,f,bachelor,personal auto,two-door car,5218,39854,66,0.0,262
568,northeast,m,college,personal auto,suv,11490,37707,161,0.0,1053
569,central,f,master,personal auto,four-door car,2865,91368,71,0.0,395
570,central,m,bachelor,personal auto,suv,8404,37707,115,0.0,552
572,east,f,bachelor,personal auto,two-door car,5293,37707,70,0.0,336
574,central,f,master,personal auto,four-door car,5801,48927,72,0.0,139
575,northeast,f,bachelor,personal auto,four-door car,9473,37707,86,0.0,413
576,central,f,college,personal auto,four-door car,10485,61108,89,0.0,49
577,central,m,master,corporate auto,sports car,4387,48015,110,0.0,528
578,central,m,college,personal auto,four-door car,4523,37707,61,0.0,293
579,central,f,college,personal auto,four-door car,5418,57587,68,0.0,257
584,northeast,m,high school or below,corporate auto,four-door car,4756,56146,119,0.0,402
585,west,m,bachelor,personal auto,four-door car,2447,84658,62,0.0,45
587,east,f,college,personal auto,suv,7399,37707,101,0.0,338
588,northeast,m,college,personal auto,four-door car,7308,31115,92,0.0,442
590,northeast,m,bachelor,corporate auto,four-door car,5229,92472,65,0.0,240
592,east,m,master,personal auto,two-door car,6333,71737,79,0.0,339
593,west,m,college,personal auto,four-door car,4330,60475,107,0.0,514
594,central,f,bachelor,personal auto,four-door car,6293,26577,79,0.0,74
595,central,m,high school or below,personal auto,two-door car,4918,37707,71,0.0,511
596,west,m,high school or below,personal auto,two-door car,5166,43461,64,0.0,307
597,northeast,m,high school or below,personal auto,two-door car,6292,37707,94,0.0,677
598,northeast,f,master,corporate auto,sports car,4583,69085,113,0.0,472
599,west,m,high school or below,personal auto,four-door car,6062,37707,84,0.0,605
600,east,m,high school or below,personal auto,two-door car,4979,37707,71,0.0,341
601,west,f,college,corporate auto,four-door car,5831,37707,77,0.0,783
603,northeast,f,high school or below,personal auto,sports car,3850,37707,106,0.0,763
604,central,f,high school or below,personal auto,four-door car,15266,58361,95,0.0,44
605,central,m,college,personal auto,four-door car,5318,74092,67,0.0,322
606,west,f,college,corporate auto,four-door car,2375,37707,64,0.0,381
609,northeast,f,high school or below,corporate auto,suv,4512,37707,125,0.0,900
610,west,f,bachelor,personal auto,four-door car,7265,12075,94,0.0,451
611,west,m,college,personal auto,sports car,8659,62464,109,0.0,400
612,northeast,m,college,personal auto,four-door car,5499,22520,73,0.0,350
613,central,f,high school or below,personal auto,four-door car,5599,35012,72,0.0,346
