state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
161,northeast,m,college,4836,36655,61,0.0,personal auto,four-door car,295
162,northeast,f,high school or below,5597,37995,139,0.0,personal auto,suv,667
163,west,f,high school or below,8920,40867,112,0.0,corporate auto,two-door car,538
164,northeast,f,bachelor,5995,28804,78,0.0,personal auto,two-door car,76
165,west,f,high school or below,38497,48409,124,0.0,special auto,suv,345
166,west,m,high school or below,8383,19683,117,1.0,personal auto,sports car,562
167,east,u,college,2444,92834,61,0.0,special auto,four-door car,293
168,east,f,high school or below,2472,62006,61,0.0,personal auto,four-door car,293
169,west,f,high school or below,5406,67241,68,1.0,personal auto,two-door car,6
170,west,m,high school or below,9352,75436,78,0.0,personal auto,four-door car,10
171,central,f,college,4340,91761,109,2.0,personal auto,suv,779
172,west,f,college,17724,25771,222,0.0,personal auto,luxury suv,1254
173,northeast,m,college,7507,60920,64,0.0,personal auto,two-door car,231
174,east,f,college,6049,37707,61,3.0,corporate auto,four-door car,293
175,east,f,high school or below,19014,29822,61,0.0,personal auto,two-door car,293
176,central,m,college,10080,60944,130,2.0,personal auto,suv,624
177,west,f,high school or below,6503,22081,84,0.0,personal auto,two-door car,452
178,east,f,college,2488,67282,62,0.0,personal auto,two-door car,298
179,west,f,college,4620,37707,130,0.0,personal auto,suv,936
180,central,m,high school or below,2472,95697,61,0.0,personal auto,two-door car,114
181,northeast,f,college,6494,15300,85,0.0,personal auto,four-door car,408
182,east,m,high school or below,2505,88264,62,0.0,personal auto,two-door car,298
183,central,f,college,4905,12902,139,0.0,personal auto,sports car,667
184,central,m,high school or below,4802,29809,61,0.0,personal auto,four-door car,365
185,central,m,high school or below,7956,37707,74,0.0,personal auto,four-door car,355
186,northeast,m,high school or below,6942,37707,96,0.0,personal auto,four-door car,461
187,northeast,m,bachelor,8382,25998,71,0.0,personal auto,four-door car,792
188,northeast,f,doctor,3536,28248,90,0.0,personal auto,four-door car,634
189,west,f,college,3245,68103,82,0.0,personal auto,two-door car,278
190,west,f,high school or below,7611,37707,103,0.0,special auto,four-door car,742
191,northeast,f,doctor,4505,81079,111,0.0,special auto,suv,134
192,central,f,master,2446,22732,62,0.0,personal auto,four-door car,16
193,central,f,high school or below,16478,49825,70,3.0,corporate auto,two-door car,336
194,northeast,f,college,3546,37707,103,0.0,personal auto,suv,622
195,central,m,high school or below,4277,77265,107,0.0,personal auto,suv,514
196,west,m,high school or below,4785,37707,72,0.0,corporate auto,four-door car,780
197,west,m,college,7572,12876,107,2.0,corporate auto,four-door car,426
198,central,m,bachelor,11761,36431,99,0.0,personal auto,two-door car,513
199,northeast,m,high school or below,3934,25927,103,0.0,personal auto,suv,675
200,central,f,bachelor,5701,26811,72,0.0,personal auto,two-door car,466
201,northeast,f,high school or below,3499,41711,90,0.0,personal auto,four-door car,351
202,central,f,college,5768,35091,74,0.0,corporate auto,two-door car,419
203,central,f,bachelor,6362,37707,87,0.0,corporate auto,four-door car,418
204,northeast,f,high school or below,6503,22081,84,0.0,personal auto,two-door car,452
205,east,m,high school or below,4935,29560,62,0.0,personal auto,four-door car,298
206,northeast,m,college,5785,31320,72,0.0,personal auto,four-door car,294
207,northeast,m,high school or below,5620,37707,153,0.0,personal auto,suv,1027
208,northeast,m,doctor,2599,33947,66,1.0,personal auto,four-door car,192
209,west,f,high school or below,6733,37707,62,0.0,personal auto,two-door car,446
210,west,f,college,18322,21189,66,0.0,personal auto,two-door car,317
211,east,m,bachelor,2301,25905,63,0.0,personal auto,four-door car,302
212,northeast,m,high school or below,4003,37707,114,0.0,personal auto,suv,821
213,northeast,f,bachelor,8621,44988,108,0.0,corporate auto,two-door car,518
214,northeast,f,college,10389,33432,90,0.0,corporate auto,two-door car,161
215,northeast,f,bachelor,8427,46503,215,1.0,personal auto,luxury suv,1032
216,west,m,bachelor,7007,37707,101,0.0,corporate auto,suv,974
217,northeast,f,master,5177,23636,65,0.0,personal auto,four-door car,81
219,east,f,college,4700,11417,63,0.0,personal auto,two-door car,302
220,northeast,f,bachelor,4435,58082,112,1.0,personal auto,suv,103
221,central,f,bachelor,14011,36523,71,0.0,personal auto,four-door car,101
222,central,m,bachelor,12350,54710,103,0.0,personal auto,two-door car,294
223,west,f,high school or below,8162,73466,102,1.0,personal auto,suv,205
224,northeast,f,bachelor,11009,51643,283,0.0,corporate auto,luxury car,1358
225,central,m,college,8717,83846,74,3.0,personal auto,four-door car,355
226,northeast,m,high school or below,5917,37707,169,0.0,personal auto,suv,1207
227,west,m,bachelor,2504,53338,63,1.0,personal auto,four-door car,35
228,east,u,bachelor,5019,54500,63,0.0,corporate auto,two-door car,302
229,northeast,m,college,4330,60475,107,0.0,personal auto,four-door car,514
230,west,m,college,10488,30658,89,0.0,personal auto,four-door car,442
231,central,m,bachelor,3568,37707,102,0.0,corporate auto,suv,660
232,northeast,f,bachelor,19896,60420,248,0.0,personal auto,luxury suv,633
234,east,m,college,6948,40598,91,0.0,personal auto,four-door car,303
235,west,f,doctor,3516,15144,90,0.0,personal auto,four-door car,373
236,west,m,bachelor,12037,44428,104,0.0,personal auto,suv,499
237,west,m,college,3610,58297,97,5.0,special auto,four-door car,647
238,northeast,f,bachelor,17732,42191,74,1.0,special auto,two-door car,69
239,central,m,master,8510,26057,74,0.0,personal auto,four-door car,524
240,central,f,bachelor,5866,26608,73,0.0,personal auto,two-door car,234
241,west,m,doctor,4826,37707,63,0.0,personal auto,four-door car,273
242,west,m,college,5389,66429,136,0.0,personal auto,sports car,58
243,west,f,bachelor,7778,25970,72,3.0,personal auto,four-door car,431
244,northeast,m,high school or below,26346,48268,223,0.0,personal auto,luxury suv,1606
245,west,f,high school or below,14866,24279,126,0.0,personal auto,sports car,605
246,central,m,high school or below,8324,37707,121,0.0,corporate auto,sports car,871
247,northeast,f,high school or below,9238,37707,128,0.0,personal auto,suv,922
248,central,f,high school or below,22693,71879,64,0.0,corporate auto,two-door car,9
249,central,m,doctor,6236,57760,78,0.0,special auto,four-door car,224
250,west,m,college,5012,20976,129,1.0,personal auto,sports car,736
251,east,m,college,15696,97750,65,0.0,personal auto,four-door car,303
252,east,f,college,8215,73245,68,0.0,personal auto,four-door car,305
253,west,m,college,3119,23008,79,1.0,personal auto,four-door car,81
254,east,f,high school or below,2764,33837,72,4.0,corporate auto,two-door car,306
255,central,f,high school or below,6884,84869,85,0.0,corporate auto,four-door car,408
256,northeast,m,college,2216,37707,66,0.0,corporate auto,two-door car,317
257,east,u,bachelor,4855,29834,6464,0.0,personal auto,four-door car,307
258,central,f,high school or below,21523,44695,79,2.0,personal auto,two-door car,81
259,northeast,f,high school or below,2762,37707,77,0.0,personal auto,four-door car,554
260,northeast,m,high school or below,22564,23046,65,3.0,personal auto,two-door car,2
261,northeast,m,high school or below,5286,37707,73,0.0,personal auto,two-door car,393
262,northeast,f,high school or below,35063,84811,111,0.0,personal auto,suv,278
263,northeast,m,bachelor,5913,37707,91,0.0,corporate auto,four-door car,437
264,west,f,master,2593,37707,69,0.0,personal auto,two-door car,331
265,central,m,high school or below,12693,40117,108,0.0,personal auto,two-door car,750
266,northeast,m,bachelor,3309,72140,87,2.0,personal auto,four-door car,418
267,east,f,master,5182,97131,6464,0.0,personal auto,four-door car,307
268,west,m,college,2414,12495,65,0.0,personal auto,four-door car,312
269,west,m,high school or below,2162,37707,67,2.0,corporate auto,two-door car,482
270,northeast,f,bachelor,5528,37707,72,0.0,personal auto,four-door car,346
271,central,f,doctor,10629,36495,133,1.0,corporate auto,suv,230
272,central,f,bachelor,11820,86801,98,0.0,personal auto,four-door car,371
273,west,m,college,4965,52679,62,0.0,personal auto,four-door car,118
274,west,m,master,9123,90804,113,0.0,personal auto,sports car,434
276,northeast,f,college,3461,14262,90,0.0,personal auto,four-door car,290
277,northeast,m,bachelor,2873,36844,73,0.0,personal auto,four-door car,284
278,central,f,college,9928,58703,127,2.0,personal auto,suv,228
279,central,m,high school or below,3483,65162,86,0.0,personal auto,four-door car,134
280,northeast,f,college,3992,54964,99,0.0,personal auto,four-door car,526
281,northeast,m,bachelor,5510,61401,69,0.0,personal auto,four-door car,144
282,northeast,f,high school or below,3601,25147,101,0.0,corporate auto,suv,695
283,northeast,f,master,5419,73536,67,0.0,personal auto,two-door car,173
284,northeast,f,high school or below,5811,24860,73,0.0,personal auto,four-door car,350
285,west,m,bachelor,3943,65404,99,0.0,personal auto,four-door car,301
286,northeast,m,high school or below,3126,34510,81,0.0,personal auto,four-door car,389
287,west,m,bachelor,3530,37707,108,0.0,corporate auto,two-door car,778
288,east,f,college,10991,44552,137,0.0,personal auto,suv,311
289,central,m,high school or below,4773,20993,133,0.0,personal auto,suv,638
290,northeast,f,bachelor,2202,37707,61,1.0,personal auto,two-door car,293
291,east,m,high school or below,2459,21190,65,2.0,personal auto,four-door car,312
292,central,f,college,10374,62587,86,0.0,personal auto,four-door car,413
293,east,f,high school or below,2584,22562,65,0.0,personal auto,two-door car,312
294,west,m,high school or below,4307,73345,107,0.0,personal auto,suv,514
295,northeast,f,high school or below,3040,37707,83,0.0,personal auto,four-door car,989
296,west,f,master,19161,22705,239,0.0,personal auto,luxury suv,1295
297,east,m,bachelor,8177,67137,111,5.0,personal auto,suv,315
298,northeast,f,bachelor,5285,22627,67,0.0,personal auto,four-door car,322
299,west,f,master,8025,38702,101,3.0,personal auto,suv,253
300,west,m,bachelor,2810,26790,71,0.0,personal auto,two-door car,341
301,central,f,bachelor,7740,64859,96,0.0,personal auto,four-door car,267
302,east,m,bachelor,4110,86657,103,0.0,personal auto,sports car,316
303,central,f,high school or below,3275,69263,81,2.0,personal auto,two-door car,495
304,northeast,m,bachelor,2653,82655,66,0.0,personal auto,two-door car,317
305,west,f,high school or below,5048,29401,65,0.0,personal auto,four-door car,312
306,east,m,bachelor,3362,22853,87,0.0,personal auto,four-door car,316
307,central,f,college,4858,26480,63,0.0,personal auto,two-door car,379
308,northeast,f,high school or below,2145,37707,61,1.0,personal auto,four-door car,293
309,west,m,bachelor,6043,37707,83,0.0,personal auto,two-door car,904
310,northeast,f,high school or below,3387,73268,84,0.0,personal auto,four-door car,94
311,northeast,f,doctor,10864,95579,67,0.0,personal auto,four-door car,309
312,northeast,f,master,8843,42142,112,0.0,personal auto,sports car,396
313,east,m,college,2617,72302,66,0.0,special auto,two-door car,317
314,west,m,bachelor,30763,41279,115,0.0,personal auto,sports car,251
315,east,m,master,5200,23401,66,0.0,personal auto,four-door car,317
316,central,m,bachelor,8591,37707,128,0.0,corporate auto,suv,1449
317,central,f,college,2647,23170,71,0.0,personal auto,four-door car,341
318,northeast,f,bachelor,4607,17343,63,0.0,corporate auto,two-door car,209
319,northeast,m,college,4861,25854,68,0.0,personal auto,four-door car,396
320,northeast,m,college,2581,46900,66,0.0,corporate auto,four-door car,317
321,east,f,college,5291,57338,66,0.0,personal auto,four-door car,317
322,west,m,high school or below,8406,85355,71,2.0,personal auto,two-door car,459
323,central,f,college,3097,21604,79,0.0,personal auto,four-door car,379
324,central,m,high school or below,29412,37707,107,0.0,personal auto,suv,514
325,east,m,high school or below,37707,51878,66,1.0,personal auto,four-door car,317
327,central,f,high school or below,3219,68776,80,0.0,personal auto,four-door car,88
328,northeast,f,high school or below,23207,45039,96,0.0,personal auto,four-door car,192
329,east,f,college,6922,16483,90,0.0,corporate auto,two-door car,321
330,central,m,high school or below,13919,64113,117,0.0,special auto,four-door car,562
331,central,m,high school or below,8966,41829,76,0.0,personal auto,two-door car,416
332,west,f,master,11982,21514,62,0.0,personal auto,two-door car,257
333,central,m,master,5533,27722,69,0.0,personal auto,four-door car,331
334,central,f,college,11661,21506,151,0.0,personal auto,sports car,827
335,northeast,f,high school or below,2886,10312,78,0.0,personal auto,four-door car,486
336,central,f,bachelor,12742,73054,106,1.0,personal auto,suv,419
337,northeast,f,bachelor,5398,73775,67,0.0,personal auto,four-door car,322
338,west,m,high school or below,7285,44788,61,0.0,corporate auto,four-door car,386
339,central,f,high school or below,17652,22510,95,0.0,personal auto,four-door car,456
340,central,m,master,17030,54613,213,0.0,personal auto,luxury suv,732
341,central,f,high school or below,2491,25965,65,0.0,personal auto,four-door car,329
342,northeast,f,college,4039,34911,105,1.0,personal auto,suv,127
343,northeast,m,bachelor,2619,78618,66,0.0,special auto,two-door car,226
344,northeast,f,high school or below,5050,61080,66,2.0,personal auto,four-door car,294
345,northeast,f,master,4983,60415,62,0.0,personal auto,two-door car,73
346,west,f,master,2531,25143,66,0.0,corporate auto,four-door car,9
347,west,m,college,7397,41045,64,1.0,personal auto,four-door car,395
348,west,m,college,3833,97729,95,0.0,personal auto,four-door car,97
349,central,f,high school or below,4961,55702,61,0.0,personal auto,four-door car,151
350,west,f,college,3861,93272,95,0.0,personal auto,four-door car,281
351,west,m,bachelor,22659,23665,67,0.0,personal auto,four-door car,405
352,northeast,m,high school or below,10409,20228,101,1.0,personal auto,suv,524
353,central,f,college,4835,38713,66,4.0,personal auto,four-door car,317
354,central,f,bachelor,8258,23815,73,0.0,personal auto,four-door car,424
355,central,f,high school or below,3053,37707,93,3.0,personal auto,four-door car,446
356,west,f,high school or below,4012,47221,99,0.0,personal auto,two-door car,475
357,northeast,m,bachelor,13355,34495,113,0.0,personal auto,suv,390
358,northeast,m,college,2364,46264,62,0.0,corporate auto,four-door car,199
359,central,m,college,2489,46051,63,0.0,personal auto,two-door car,302
360,central,f,bachelor,4756,23975,128,0.0,corporate auto,suv,614
361,west,f,college,13864,37707,74,4.0,personal auto,four-door car,581
362,central,f,college,3020,78561,74,0.0,personal auto,two-door car,355
363,west,m,high school or below,6285,37707,90,0.0,personal auto,two-door car,432
364,west,f,high school or below,2506,61402,63,2.0,special auto,four-door car,302
365,central,m,bachelor,2826,65090,71,0.0,personal auto,four-door car,74
366,central,m,master,4370,88495,108,0.0,personal auto,two-door car,536
367,central,m,bachelor,12175,52797,104,1.0,personal auto,sports car,88
368,central,m,doctor,3528,31278,92,4.0,personal auto,two-door car,442
369,west,f,bachelor,10437,24177,92,1.0,personal auto,four-door car,442
370,northeast,f,high school or below,2746,96339,68,0.0,corporate auto,four-door car,293
371,west,m,bachelor,9175,68164,119,2.0,personal auto,four-door car,223
372,east,u,high school or below,37707,36765,66,1.0,personal auto,four-door car,321
373,east,f,doctor,2728,74592,67,0.0,personal auto,two-door car,322
374,northeast,f,college,9450,37707,63,0.0,special auto,four-door car,118
375,west,m,college,4569,37707,70,1.0,personal auto,two-door car,525
376,northeast,f,master,2574,34990,65,0.0,personal auto,four-door car,43
377,central,f,master,8790,22849,109,0.0,personal auto,sports car,523
378,central,m,doctor,2507,32893,63,0.0,personal auto,four-door car,174
379,northeast,m,college,2522,37707,73,0.0,corporate auto,two-door car,350
380,central,m,college,7543,37707,111,0.0,personal auto,suv,1187
381,northeast,m,high school or below,6005,26876,76,0.0,corporate auto,four-door car,365
382,central,m,bachelor,20998,71663,74,0.0,corporate auto,four-door car,84
383,west,m,college,2345,37707,69,0.0,personal auto,four-door car,331
384,west,f,high school or below,8783,16994,112,0.0,personal auto,suv,806
385,northeast,m,bachelor,4530,64270,117,0.0,personal auto,sports car,46
386,central,f,high school or below,6033,37707,83,0.0,corporate auto,four-door car,598
387,northeast,f,doctor,5308,37707,145,0.0,personal auto,suv,359
388,west,m,college,2675,56342,69,0.0,personal auto,four-door car,331
389,west,f,high school or below,4930,37707,70,0.0,personal auto,four-door car,837
390,west,m,high school or below,14131,28327,185,0.0,personal auto,luxury car,888
391,northeast,m,high school or below,2472,95697,61,0.0,personal auto,two-door car,114
392,central,m,high school or below,6005,26876,76,0.0,personal auto,four-door car,365
393,east,m,college,4386,10621,67,0.0,personal auto,four-door car,322
394,central,f,bachelor,19117,37707,61,0.0,personal auto,two-door car,658
395,west,m,college,6632,32918,84,0.0,personal auto,four-door car,403
396,northeast,f,high school or below,7432,37707,71,0.0,personal auto,four-door car,447
397,central,m,high school or below,2928,63127,74,1.0,personal auto,two-door car,174
398,west,m,college,46612,22022,136,0.0,personal auto,suv,979
399,northeast,f,high school or below,16515,51725,138,1.0,personal auto,suv,159
400,east,m,college,4386,10621,67,0.0,special auto,four-door car,322
401,northeast,f,college,10214,39719,131,0.0,personal auto,sports car,629
402,central,m,college,10049,58194,84,0.0,personal auto,four-door car,451
403,northeast,m,college,5746,61990,72,0.0,personal auto,four-door car,49
405,northeast,f,bachelor,7486,97899,95,3.0,personal auto,four-door car,4
406,central,f,college,9120,63878,113,0.0,personal auto,suv,370
407,northeast,f,high school or below,5678,68671,70,0.0,special auto,two-door car,8
408,central,f,bachelor,7517,37707,102,0.0,personal auto,suv,1179
409,northeast,m,college,4531,34640,117,2.0,personal auto,sports car,466
410,west,f,bachelor,2691,21959,71,0.0,corporate auto,four-door car,341
411,central,f,bachelor,8069,51584,69,2.0,corporate auto,two-door car,369
412,northeast,f,bachelor,2479,65744,62,0.0,corporate auto,four-door car,167
413,central,f,bachelor,9112,25198,118,0.0,personal auto,suv,566
414,central,f,master,2772,79663,69,0.0,personal auto,two-door car,264
415,central,f,bachelor,4306,31071,111,2.0,personal auto,sports car,215
416,west,f,bachelor,5103,39452,131,0.0,corporate auto,suv,398
417,northeast,f,bachelor,4785,25813,61,0.0,personal auto,four-door car,205
418,northeast,f,doctor,10541,59965,131,0.0,personal auto,suv,905
419,east,m,bachelor,5285,40783,67,1.0,personal auto,four-door car,322
420,central,f,college,7611,98701,94,0.0,personal auto,four-door car,80
421,central,f,college,8511,37707,121,0.0,personal auto,sports car,871
422,northeast,f,college,16173,64388,68,0.0,personal auto,four-door car,12
423,northeast,m,college,2425,66841,62,0.0,personal auto,four-door car,123
424,northeast,f,high school or below,2899,33738,74,1.0,corporate auto,four-door car,304
425,west,m,bachelor,3633,43334,95,2.0,corporate auto,two-door car,614
426,west,f,college,3457,37707,91,0.0,personal auto,four-door car,246
427,central,f,college,3395,83431,84,0.0,personal auto,four-door car,403
428,east,f,college,8021,54292,67,0.0,personal auto,four-door car,322
429,northeast,m,bachelor,5842,37707,79,0.0,personal auto,four-door car,379
430,west,m,high school or below,5480,38210,69,0.0,personal auto,four-door car,383
431,central,f,high school or below,20455,37707,67,0.0,personal auto,four-door car,482
432,northeast,f,bachelor,8319,49734,69,0.0,corporate auto,four-door car,155
433,east,f,high school or below,2583,50148,65,0.0,corporate auto,four-door car,323
434,northeast,m,college,4164,11689,117,0.0,corporate auto,suv,562
435,central,f,high school or below,4853,17120,125,0.0,special auto,suv,717
436,northeast,m,high school or below,7532,82157,188,0.0,corporate auto,luxury car,1354
437,east,f,bachelor,2586,21603,68,2.0,personal auto,four-door car,326
438,east,f,bachelor,2696,25544,68,0.0,personal auto,four-door car,326
439,west,m,high school or below,2685,98121,67,0.0,personal auto,two-door car,384
440,east,f,high school or below,8109,32314,68,0.0,personal auto,four-door car,326
441,northeast,f,college,9037,89382,112,0.0,corporate auto,four-door car,574
442,central,f,high school or below,5352,97742,132,0.0,corporate auto,suv,200
443,central,f,high school or below,11881,37707,114,0.0,personal auto,four-door car,821
444,northeast,m,college,2557,37707,73,0.0,corporate auto,four-door car,526
445,west,f,college,7915,77153,99,1.0,personal auto,four-door car,356
446,west,m,master,9840,94590,81,0.0,personal auto,two-door car,389
447,central,f,high school or below,4352,74163,108,0.0,personal auto,four-door car,518
448,northeast,f,high school or below,22208,40450,287,3.0,personal auto,luxury suv,1378
449,northeast,m,high school or below,4825,37707,71,0.0,personal auto,two-door car,511
450,central,f,high school or below,6948,37707,99,0.0,corporate auto,two-door car,475
451,west,f,college,3345,33243,85,0.0,personal auto,four-door car,25
452,central,m,master,2358,37707,64,0.0,personal auto,four-door car,200
453,northeast,m,high school or below,35945,37707,114,0.0,corporate auto,four-door car,821
454,central,m,high school or below,10409,20228,101,1.0,personal auto,suv,524
455,central,f,high school or below,4048,92801,100,0.0,personal auto,suv,407
456,northeast,m,college,6852,37707,69,1.0,personal auto,four-door car,407
457,west,m,college,2903,36845,74,0.0,personal auto,four-door car,355
458,west,f,college,18039,37707,63,0.0,personal auto,four-door car,503
459,west,f,master,3242,72330,81,2.0,personal auto,four-door car,127
460,central,f,bachelor,2468,19352,65,0.0,personal auto,four-door car,724
461,central,m,college,5674,37707,62,5.0,personal auto,four-door car,298
462,central,f,college,8634,25073,79,0.0,personal auto,four-door car,379
463,northeast,f,high school or below,2780,20261,72,0.0,personal auto,four-door car,346
464,northeast,m,master,22056,66851,92,2.0,personal auto,four-door car,409
465,central,f,high school or below,2515,43860,65,0.0,corporate auto,four-door car,156
466,northeast,m,college,5886,37707,180,0.0,corporate auto,luxury car,1777
467,west,f,doctor,7706,48019,64,0.0,corporate auto,four-door car,138
468,west,m,college,2790,28786,71,1.0,personal auto,four-door car,346
469,west,f,high school or below,2397,22283,65,0.0,corporate auto,four-door car,572
470,central,f,bachelor,8834,34133,111,0.0,personal auto,suv,227
471,central,m,master,14436,60880,119,0.0,personal auto,two-door car,110
472,west,f,bachelor,6872,37707,196,2.0,personal auto,sports car,941
473,northeast,m,high school or below,15362,48115,192,0.0,personal auto,luxury car,1382
474,west,f,college,4835,32017,62,2.0,personal auto,four-door car,298
475,northeast,f,high school or below,10899,58518,136,0.0,personal auto,suv,324
476,west,m,bachelor,5284,61542,67,0.0,personal auto,four-door car,322
477,northeast,f,bachelor,2892,56761,73,1.0,corporate auto,two-door car,85
478,west,m,college,4901,22976,66,0.0,personal auto,four-door car,346
479,central,f,high school or below,20843,37707,72,0.0,personal auto,four-door car,709
480,east,m,college,5246,70301,67,0.0,personal auto,four-door car,329
481,central,m,bachelor,6631,37707,66,0.0,personal auto,four-door car,316
482,central,m,bachelor,12037,44428,104,0.0,personal auto,suv,499
483,central,m,bachelor,3895,52361,102,0.0,personal auto,four-door car,646
484,west,m,college,11701,32435,297,0.0,personal auto,luxury car,1767
485,west,m,high school or below,3419,40272,86,0.0,personal auto,two-door car,23
486,central,m,master,7303,30492,61,0.0,personal auto,four-door car,171
487,central,m,high school or below,19685,51524,244,0.0,personal auto,luxury car,1171
488,central,m,college,2486,36635,63,0.0,corporate auto,four-door car,302
489,central,f,bachelor,5224,83389,65,0.0,corporate auto,two-door car,209
490,northeast,f,bachelor,49221,63035,153,0.0,personal auto,suv,734
491,west,m,bachelor,3168,61638,82,2.0,corporate auto,four-door car,544
492,central,f,college,7805,21073,106,1.0,personal auto,suv,509
493,west,f,college,13198,37707,68,3.0,personal auto,four-door car,326
494,northeast,m,bachelor,6234,37707,82,0.0,personal auto,two-door car,193
495,central,m,college,7540,37707,74,0.0,personal auto,four-door car,533
496,central,m,high school or below,8158,86811,102,0.0,corporate auto,four-door car,490
497,northeast,m,high school or below,13157,72517,82,0.0,personal auto,two-door car,371
498,east,f,high school or below,2491,25965,5353,0.0,personal auto,four-door car,329
499,northeast,f,doctor,5339,84424,66,0.0,personal auto,four-door car,232
500,west,f,college,8649,43383,109,0.0,personal auto,suv,758
501,northeast,m,high school or below,7519,96306,95,1.0,special auto,four-door car,185
502,west,f,college,4293,37707,61,0.0,corporate auto,two-door car,293
503,east,f,high school or below,2538,37707,69,0.0,personal auto,four-door car,331
504,central,f,college,13160,94125,109,0.0,personal auto,suv,342
505,northeast,m,college,13236,39778,112,0.0,personal auto,suv,806
506,northeast,f,high school or below,3745,37707,101,0.0,personal auto,suv,727
507,northeast,f,college,28486,91871,102,0.0,personal auto,suv,347
508,central,m,bachelor,2645,54000,66,0.0,corporate auto,two-door car,374
509,northeast,m,doctor,5073,57709,125,0.0,personal auto,suv,600
510,central,f,high school or below,4273,81132,107,0.0,corporate auto,suv,419
511,west,m,college,11003,22926,93,0.0,corporate auto,four-door car,480
512,central,f,college,14182,37707,72,2.0,personal auto,four-door car,346
513,east,m,bachelor,5548,67798,69,0.0,personal auto,four-door car,331
514,northeast,m,bachelor,11078,78011,138,0.0,personal auto,suv,620
515,northeast,m,college,2436,32931,62,0.0,personal auto,four-door car,298
516,west,f,bachelor,8744,99517,109,0.0,personal auto,four-door car,240
517,central,m,bachelor,2410,59665,62,1.0,personal auto,two-door car,167
518,east,f,high school or below,5500,86073,136,0.0,corporate auto,sports car,334
519,central,f,high school or below,8528,91099,107,0.0,corporate auto,suv,406
520,northeast,m,college,3592,28013,91,0.0,personal auto,four-door car,655
521,central,f,high school or below,8540,55478,71,0.0,personal auto,two-door car,339
522,central,f,college,6991,22568,88,0.0,corporate auto,four-door car,422
523,west,f,high school or below,3979,37707,112,0.0,personal auto,suv,806
524,central,m,high school or below,23950,39335,201,0.0,corporate auto,luxury suv,965
525,northeast,f,college,2321,37707,66,0.0,personal auto,two-door car,509
526,northeast,m,college,5087,37707,72,0.0,personal auto,four-door car,346
527,northeast,m,college,4363,58842,110,0.0,personal auto,four-door car,528
528,northeast,f,bachelor,7457,37707,69,0.0,personal auto,four-door car,678
529,northeast,m,college,7028,37707,102,0.0,personal auto,suv,490
530,northeast,f,bachelor,2832,70037,70,0.0,personal auto,four-door car,410
531,central,m,high school or below,4218,37707,62,0.0,personal auto,two-door car,446
532,central,m,college,7596,59847,192,0.0,corporate auto,luxury car,922
533,west,m,bachelor,8366,26630,118,0.0,personal auto,four-door car,581
534,northeast,f,high school or below,2726,48039,68,0.0,personal auto,four-door car,11
535,west,m,high school or below,3420,37707,92,0.0,personal auto,four-door car,442
536,central,m,high school or below,4839,37707,137,0.0,personal auto,suv,1227
537,central,f,bachelor,4359,37707,118,0.0,corporate auto,sports car,102
538,east,f,master,12427,15818,107,0.0,personal auto,two-door car,334
539,northeast,f,doctor,23516,36537,85,0.0,personal auto,four-door car,165
540,central,f,master,8396,37707,115,1.0,personal auto,suv,552
541,central,m,high school or below,5171,53603,132,1.0,personal auto,sports car,697
542,central,m,doctor,5585,37707,80,0.0,corporate auto,four-door car,6
543,west,f,doctor,8639,92374,107,1.0,personal auto,suv,220
544,west,m,high school or below,5282,39658,66,0.0,corporate auto,four-door car,317
545,northeast,f,bachelor,8385,37707,116,0.0,personal auto,sports car,557
546,central,m,bachelor,4633,37707,70,0.0,personal auto,two-door car,336
547,west,f,high school or below,2480,37707,65,0.0,personal auto,four-door car,328
548,central,m,high school or below,3619,50755,91,0.0,personal auto,two-door car,437
549,east,f,college,5376,69050,67,0.0,personal auto,four-door car,335
550,northeast,m,bachelor,4893,37707,73,0.0,corporate auto,four-door car,680
551,west,m,high school or below,10738,50607,137,0.0,personal auto,suv,658
552,east,f,college,2608,37707,70,1.0,special auto,two-door car,336
553,central,f,bachelor,15725,37707,149,0.0,corporate auto,suv,1073
554,central,m,college,9553,37707,146,0.0,corporate auto,suv,1051
556,west,f,bachelor,7325,37707,105,0.0,special auto,two-door car,504
557,northeast,m,high school or below,5333,55674,66,0.0,personal auto,four-door car,82
558,west,m,college,12767,37707,189,0.0,corporate auto,luxury car,2201
559,east,m,bachelor,2659,24495,70,0.0,personal auto,four-door car,336
560,northeast,f,college,3484,42983,86,0.0,personal auto,four-door car,413
561,central,m,college,4637,26802,66,1.0,special auto,two-door car,317
562,west,m,doctor,17530,37707,97,0.0,corporate auto,four-door car,469
563,northeast,m,high school or below,6979,53808,88,0.0,personal auto,four-door car,190
564,central,f,college,2912,93403,73,0.0,personal auto,four-door car,295
565,northeast,f,bachelor,4209,26435,111,1.0,corporate auto,four-door car,1012
566,northeast,f,bachelor,5010,37707,68,0.0,personal auto,four-door car,326
567,west,f,bachelor,5218,39854,66,0.0,personal auto,two-door car,262
568,northeast,m,college,11490,37707,161,0.0,personal auto,suv,1053
569,central,f,master,2865,91368,71,0.0,personal auto,four-door car,395
570,central,m,bachelor,8404,37707,115,0.0,personal auto,suv,552
571,west,f,college,20396,92850,104,1.0,personal auto,four-door car,499
572,east,f,bachelor,5293,37707,70,0.0,personal auto,two-door car,336
